/location/country/form of government	form of government
/tv/tv program/regular cast./tv/regular tv appearance/actor	actor
/media common/netflix genre/titles	titles
/award/award winner/awards won./award/award honor/award winner	award winner
/soccer/football team/current roster./sports/sports team roster/position	position
/sports/sports position/players./soccer/football roster position/team	team
/government/political district/representatives./government/government position held/legislative sessions	legislative sessions
/film/film/starring./film/performance/actor	actor
/soccer/football team/current roster./soccer/football roster position/position	position
/film/actor/film./film/performance/film	film
/award/award nominated work/award nominations./award/award nomination/award	award
/award/award category/nominees./award/award nomination/nominated for	nominated for
/organization/membership organization/members./organization/organization membership/member	member
/award/award nominee/award nominations./award/award nomination/award nominee	award nominee
/olympics/olympic sport/olympic games contested	olympic games contested
/music/performance role/regular performances./music/group membership/role	role
/award/award category/winners./award/award honor/ceremony	ceremony
/film/film/release date s./film/film regional release date/film release distribution medium	film release distribution medium
/people/marriage union type/unions of this type./people/marriage/spouse	spouse
/award/award winning work/awards won./award/award honor/award winner	award winner
/film/film/release date s./film/film regional release date/film release region	film release region
/film/film/language	language
/music/artist/genre	genre
/location/location/containedby	containedby
/people/person/ethnicity	ethnicity
/education/educational institution/students graduates./education/education/degree	degree
/award/award category/nominees./award/award nomination/award nominee	award nominee
/award/award ceremony/awards presented./award/award honor/award	award
/location/location/contains	contains
/organization/organization/headquarters./location/mailing address/country	country
/people/person/profession	profession
/film/film job/films with this crew job./film/film crew gig/film	film
/people/profession/people with this profession	people with this profession
/film/film costumer designer/costume design for film	costume design for film
/location/statistical region/religions./location/religion percentage/religion	religion
/film/film genre/films in this genre	films in this genre
/tv/tv genre/programs	programs
/award/award nominee/award nominations./award/award nomination/award	award
/music/genre/artists	artists
/influence/influence node/influenced by	influenced by
/education/educational institution/students graduates./education/education/student	student
/organization/organization member/member of./organization/organization membership/organization	organization
/people/person/place of birth	place of birth
/common/topic/webpage./common/webpage/category	category
/media common/netflix title/netflix genres	netflix genres
/sports/sports position/players./american football/football historical roster position/team	team
/film/film/other crew./film/film crew gig/film crew role	film crew role
/award/award ceremony/awards presented./award/award honor/award winner	award winner
/film/film/country	country
/olympics/olympic sport/athletes./olympics/olympic athlete affiliation/country	country
/award/award winning work/awards won./award/award honor/award	award
/base/schemastaging/tv actor extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/program	program
/film/film/genre	genre
